cset: --> last message, executed args into cpuset "/user", new pid is: 75972
L,N,embed_dim,num_heads,use_separate_proj_weight,qkv_same,kv_same,device,avg(us),std(us),num_runs,data/avg(us)
16,1,256,1,True,False,False,cpu,919,379,2176,4
16,1,256,8,True,False,False,cpu,869,107,2302,37
16,1,256,16,True,False,False,cpu,878,73,2276,74
16,1,1024,1,True,False,False,cpu,5182,2791,386,3
16,1,1024,8,True,False,False,cpu,4235,269,473,30
16,1,1024,16,True,False,False,cpu,4955,590,404,52
16,64,16,1,True,False,False,cpu,799,9,2503,20
16,64,16,8,True,False,False,cpu,2929,16,683,44
16,64,16,16,True,False,False,cpu,5745,25,349,45
16,64,256,1,True,False,False,cpu,22841,1947,88,11
16,64,256,8,True,False,False,cpu,25257,837,80,83
16,64,256,16,True,False,False,cpu,27589,612,73,152
16,64,1024,1,True,False,False,cpu,190100,21992,11,5
16,64,1024,8,True,False,False,cpu,198970,5100,11,42
16,64,1024,16,True,False,False,cpu,192763,5517,11,87
16,256,16,1,True,False,False,cpu,2167,16,923,30
16,256,16,8,True,False,False,cpu,10330,28,194,50
16,256,16,16,True,False,False,cpu,22663,41,89,46
16,256,256,1,True,False,False,cpu,93406,4181,22,11
16,256,256,8,True,False,False,cpu,98987,1153,21,84
16,256,256,16,True,False,False,cpu,109489,846,19,153
16,256,1024,1,True,False,False,cpu,727738,8518,3,5
16,256,1024,8,True,False,False,cpu,811550,20434,3,41
16,256,1024,16,True,False,False,cpu,808542,10280,3,82
32,1,16,1,True,False,False,cpu,333,5,5997,1
32,1,16,8,True,False,False,cpu,442,8,4516,9
32,1,16,16,True,False,False,cpu,549,9,3637,14
32,1,256,1,True,False,False,cpu,1428,501,1400,5
32,1,256,8,True,False,False,cpu,1414,162,1415,46
32,1,256,16,True,False,False,cpu,1414,102,1414,92
32,1,1024,1,True,False,False,cpu,6367,27,315,5
32,1,1024,8,True,False,False,cpu,8716,1304,230,30
32,1,1024,16,True,False,False,cpu,8596,868,233,60
32,64,16,1,True,False,False,cpu,1488,22,1344,22
32,64,16,8,True,False,False,cpu,7953,26,252,32
32,64,16,16,True,False,False,cpu,14149,41,142,37
32,64,256,1,True,False,False,cpu,49054,3309,41,10
32,64,256,8,True,False,False,cpu,55126,980,37,76
32,64,256,16,True,False,False,cpu,63523,841,32,132
32,64,1024,1,True,False,False,cpu,399153,34135,6,5
32,64,1024,8,True,False,False,cpu,419620,7625,5,39
32,64,1024,16,True,False,False,cpu,436326,1436,5,76
32,256,16,1,True,False,False,cpu,4918,20,407,26
32,256,16,8,True,False,False,cpu,28691,51,70,36
32,256,16,16,True,False,False,cpu,69958,5786,29,29
32,256,256,1,True,False,False,cpu,207644,7590,10,10
32,256,256,8,True,False,False,cpu,227514,2005,9,73
32,256,256,16,True,False,False,cpu,277274,6375,8,121
32,256,1024,1,True,False,False,cpu,1776721,29437,2,4
32,256,1024,8,True,False,False,cpu,1765212,4897,2,38
32,256,1024,16,True,False,False,cpu,1807401,28841,2,74
16,1,16,1,False,True,False,cpu,283,6,7068,0
16,1,16,8,False,True,False,cpu,325,6,6142,6
16,1,16,16,False,True,False,cpu,358,6,5572,11
16,1,256,1,False,True,False,cpu,896,346,2232,4
16,1,256,8,False,True,False,cpu,784,100,2551,41
16,1,256,16,False,True,False,cpu,783,62,2552,83
16,1,1024,1,False,True,False,cpu,4050,17,494,4
16,1,1024,8,False,True,False,cpu,4517,566,443,29
16,1,1024,16,False,True,False,cpu,5155,626,388,50
16,64,16,1,False,True,False,cpu,864,10,2313,18
16,64,16,8,False,True,False,cpu,3048,17,657,43
16,64,16,16,False,True,False,cpu,5946,27,337,44
16,64,256,1,False,True,False,cpu,24402,2209,82,10
16,64,256,8,False,True,False,cpu,26073,780,77,80
16,64,256,16,False,True,False,cpu,29568,509,68,141
16,64,1024,1,False,True,False,cpu,198725,12081,11,5
16,64,1024,8,False,True,False,cpu,194916,2998,11,43
16,64,1024,16,False,True,False,cpu,202206,3249,10,82
16,256,16,1,False,True,False,cpu,2619,16,764,25
16,256,16,8,False,True,False,cpu,10723,35,187,48
16,256,16,16,False,True,False,cpu,22681,43,89,46
16,256,256,1,False,True,False,cpu,95415,3218,21,10
16,256,256,8,False,True,False,cpu,103301,1346,20,81
16,256,256,16,False,True,False,cpu,117487,921,18,142
16,256,1024,1,False,True,False,cpu,812038,50751,3,5
16,256,1024,8,False,True,False,cpu,798780,6693,3,42
16,256,1024,16,False,True,False,cpu,806070,11488,3,83
32,1,16,1,False,True,False,cpu,294,6,6789,1
32,1,16,8,False,True,False,cpu,404,6,4947,10
32,1,16,16,False,True,False,cpu,520,9,3844,15
32,1,256,1,False,True,False,cpu,898,257,2227,9
32,1,256,8,False,True,False,cpu,1265,140,1581,51
32,1,256,16,False,True,False,cpu,1453,104,1376,90
32,1,1024,1,False,True,False,cpu,9326,4661,215,3
32,1,1024,8,False,True,False,cpu,7658,868,262,34
32,1,1024,16,False,True,False,cpu,8183,734,245,64
32,64,16,1,False,True,False,cpu,1653,15,1210,19
32,64,16,8,False,True,False,cpu,7611,24,263,34
32,64,16,16,False,True,False,cpu,14543,38,138,36
32,64,256,1,False,True,False,cpu,51291,2798,40,10
32,64,256,8,False,True,False,cpu,59118,1093,34,70
32,64,256,16,False,True,False,cpu,66483,1007,31,126
32,64,1024,1,False,True,False,cpu,431854,32707,5,4
